id,title,username,type,members_count,can_send_messages,language
,Current Affairs By Utkarsh Classes,CurrentAffairsUtkarsh,supergroup,1733443,True,en
,Banknifty Nifty Sensex Options Karol,banknifty_nifty_sensex_options,supergroup,1328114,True,en
,MOSTBET APK 💸,Mosbet_Mostbet_Linebet_Winwin0,supergroup,1316551,True,en
,STOCK MARKET TRADING TIPS,Trading_Market_Tips_Share,supergroup,1308239,True,en
,Crypto 🏏🏏Cricket Prediction,CRYPTO_BETTING_MATCH,supergroup,1149182,True,en
,🚀🚀TIRANGA🚀🚀GAME🚀🚀,jalwas_Lotterycx_91clubc,supergroup,1092800,True,en
,Aviator🚀 Signals🚀🔥,Colour_91clubz_Predictionc,supergroup,1031921,True,en
,Cricket 🏏🏏 Crypto,Crypto_Bettinga_Match_Prediction,supergroup,953156,True,en
,𝙁𝘼𝙄𝙍 𝙋𝙇𝘼𝙔 𝘽𝙊𝙊𝙆,fairplay_aviators,supergroup,928968,True,en
,STOCK MARKET INTRADAY CALLS,Share_Intraday_Calls_Market,supergroup,888474,True,en
,MAHADEV BOOK CRYPTO,CRYPTO_reddy_annag,supergroup,878164,True,en
,Intraday Equity BankNifty Trading Tips,Tips_Intraday_BankNifty_Trading,supergroup,777540,True,en
,OG Protocol Community,gemzfun,supergroup,737506,True,en
,TENNIS FOOTBALL KING TIPS,Tennis_Tips_Football_Report_King,supergroup,658306,True,en
,Fairplay Book Crypto,crypto_fairplay_matka_kalyan,supergroup,650958,True,en
,ANGEL ZERODHA GROWW ONE CALLS,Zerodha_Angel_Groww_Calls,supergroup,632912,True,en
,PENNY STOCK | BTST CALLS,Stock_Penny_Market_BTST,supergroup,565611,True,en
,Equity Swing Positional Trading Calls,Positional_Calls_Swing_Trading,supergroup,511960,True,en
,Session🏏 Crypto,Crypto_cpl_toss_prediction,supergroup,503380,True,en
,Crypto ASIA CUP,Crypto_pump_signal5,supergroup,486048,True,en
,BANKNIFTY SHARE MARKET CALLS,Banknifty_Share_Options_Calls,supergroup,462916,True,en
,CRYPTO NEWS & TRENDS 🚀,cryptoplaybro,supergroup,442067,True,en
,SEXSHOP TASHKENT,sexshop_intimshop_vakum_pompa,supergroup,441943,True,en
,Crypto WBBL ILT20 Prediction,CRYPTO_WBBL_MATCH_ILT20,supergroup,404720,True,en
,Share Market Equity Cash Calls,Share_Market_Equity_Cash,supergroup,392642,True,en
,Angel Trading One Stock Market,One_Stock_Angel_Trading,supergroup,387516,True,en
,SEKABET 🇹🇷 PIABET 🚀 TIPOBET TEMPOBET,Tipobet_Sekabet_Tempobet_Piabet,supergroup,383724,True,en
,Colour trading loss recovery 🔴🟢,colour_trading_treding_crypto,supergroup,373432,True,en
,Flipkart Deals Loot Offer 🛍 Crypto,Deals_Loot_Offer_crypto_Flipkart,supergroup,363918,True,en
,Equity Swing Positional Trading Calls,Swing_Trading_Calls_Positional,supergroup,342405,True,en
,Broadcast Channel,AirdropDetectiveTeam,supergroup,338551,True,en
,لینکدونی گروهکده تهران گپ دونی چت 🔱,Linkdoniimm,supergroup,315596,True,en
,ONLINE PART TIME JOBS,ONLINE_PART_TIME_INCOMER,supergroup,308871,True,en
,LUDO GROUP🎲 crypto,Ludo_Group_King_bettingsg,supergroup,292257,True,en
,Crypto Session,crypto_Report_king_baazigar,supergroup,279675,True,en
,Intraday Trading Share Stocks Market,Intraday_Trading_Share_Market_3,supergroup,232588,True,en
,55 Club Prediction 91 Club Hack Raja Game,raja_game_55_Club_91_prediction,supergroup,219843,True,en
,ALL YONO APP PROMO CODE,Yono_Yono,supergroup,213084,True,en
,Prop Firms Reviews,propfirmsreviews,supergroup,197609,True,en
,BitNest English Communication Group,BitNest_EN,supergroup,191476,True,en
,TASHAN WIN PREDICTION JALWA GAME,JALWA_GAME_TASHAN_WIN_PREDICTION,supergroup,187149,True,en
,Options Trading [ Stocks & Index ] ⌬,Stocks_Intraday,supergroup,181372,True,en
,PHANTOM WALLET OFFICIAL SUPPORT,PhantomWalletOfficial_Chats,supergroup,180185,True,en
,Swing Positional Intraday Equity Calls,Swing_Positional_Intraday_Equity,supergroup,176258,True,en
,ONLINE JOBS WORK FROM HOME,hg_wb,supergroup,172548,True,en
,💲 𝘚𝘱𝘳𝘪𝘯𝘵𝘦𝘳𝘴 𝘖𝘯𝘭𝘪𝘯𝘦 𝘎𝘢𝘮𝘪𝘯𝘨 💲,blackjack_my99exch,supergroup,171066,True,en
,Bounty Detective Community,Bounties,supergroup,170489,True,en
,crypto news,cryptonewsdaif_newscrypto_selfai,supergroup,166389,True,en
,ChainGPT Official Chat,ChainGPT,supergroup,165649,True,en
,ONLINE WORK FROM HOME,ONLINE_WORK_FROM_JOBSJ,supergroup,160752,True,en
,BankNifty Share Market Nifty50 Tips,BankNifty_Share_Market_Nifty50,supergroup,158108,True,en
,Baby Doge PAWS Chat,babydogepaws,supergroup,151814,True,en
,Champion | ZERKALOS | CASIND | KAZINL | RABOCHEES,chempiongft,supergroup,151211,True,en
,Quotex Trading Signals📈🚀,Quotex_Binomoo_Forex_Trading,supergroup,149367,True,en
,Моды на Simple Crash Car,skachatgdr,supergroup,149104,True,en
,Crypto Insider🇺🇸Wallet News,CryptoBitcoin_WalletNews,supergroup,147190,True,en
,BlockDAG Network [ Presale $BDAG],BlockDAG_t,supergroup,147008,True,en
,Baby Doge Chat,BabyDogeArmy,supergroup,145235,True,en
,Grindery Community 🚀,grinderygroup,supergroup,142416,True,en
,BESTWALLET OFFICIAL COMMUNITY PAGE,BestWalletOfficialspage,supergroup,135247,True,en
,Group Booster Support,CleanRobotHelp,supergroup,134402,True,en
,Omnia Protocol Community,Omnia_protocol,supergroup,134391,True,en
,Sai Nithin Tech - Deal's Offer's & Cashback's,sainithintech,supergroup,132586,True,en
,Captain Tsubasa -RIVALS- on TG Community,TsubasarivalsCommunity,supergroup,132447,True,en
,ALAYA AI (Admins will never DM first),Alaya_AI,supergroup,131770,True,en
,Mango Network & world,MangoNetwork_world,supergroup,131218,True,en
,Bitcoin HYPER Official,BitcoinhyperX2,supergroup,130755,True,en
,SecondLive Official Telegram Group,SecondLiveCommunity,supergroup,128797,True,en
,BTSE Exchange,btsecom,supergroup,127312,True,en
,Official Floki & TokenFi Chat,flokiinutokenfi,supergroup,124858,True,en
,Watcher Guru Chat,WatcherGuruChat,supergroup,123483,True,en
,Bitcoin Hyper [Presale $BTCHYP},BitcoinHyperL,supergroup,121857,True,en
,OpenEX Network EN,oex_en,supergroup,121047,True,en
,Wormfare Chat,wormfarechat,supergroup,119343,True,en
,Cycle Network,cycle_network,supergroup,117913,True,en
,Fanton Fantasy Football⚽️,,supergroup,115700,True,en
,Raja Luck Game prediction Hack,Raja_Game_Luck_82_Tc_Lottery1,supergroup,114118,True,en
,ONLINE PART TIME JOBS,ONLINE_PART_TIME_INCOMEL,supergroup,113800,True,en
,ONLINE PART TIME JOBS,ONLINE_PART_TIME_WORKY,supergroup,113746,True,en
,Blockchain FX | Chat,blockchainfxTG,supergroup,110489,True,en
,ONLINE PART TIME JOBS,ONLINE_PART_TIME_JOBS06,supergroup,106270,True,en
,Enfo with canada 🇨🇦🇨🇦🇻🇬🇻🇬🇱🇷🇱🇷,canada_is_Enfo,supergroup,105959,True,en
,Signals - Bitcoin and Ethereum,signalsbitcoinandethereum,supergroup,105685,True,en
,Futures Trading Connect Group,futurestradingconnectz,supergroup,105432,True,en
,CACHE WALLET,,supergroup,104648,True,en
,😾 Supermeow Discussion,supermeow_avax,supergroup,104394,True,en
,Airdrop Inspector Support Group,AirdropSupportGroup,supergroup,104259,True,en
,Haust Network [Chat Hub – all languages],haustnetwork_chat,supergroup,100069,True,en
